unit,source_run_id,compiler,executor,status,reason
P4_C0,0004,C0,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
P4_C1,0004,C1,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
P5_C0,0005,C0,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
P5_C1,0005,C1,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
P6_C0,0006,C0,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
P6_C1,0006,C1,none,blocked_missing_fixture,raw SearchPlanDraft absent; historical compiler patch identity not restored
A,0004,C0,E0,not_run,Part 0 source audit only; no exact fixed-query replay fixtures or single-point executor
B,0004,C1,E0,not_run,Part 0 source audit only; no exact fixed-query replay fixtures or single-point executor
C,0004,C0,E1,not_run,Part 0 source audit only; no exact fixed-query replay fixtures or single-point executor
D,0004,C1,E1,not_run,Part 0 source audit only; no exact fixed-query replay fixtures or single-point executor
